"stop_id,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station,platform_code"
"CHP1,Chaitanyapuri,17.3681501,78.5381335,CHP,0,CHP,1.0"
"CHP2,Chaitanyapuri,17.3681501,78.5381335,CHP,0,CHP,2.0"
"VOM,Victoria Memorial,17.3618565,78.5439622,VOM,1,VOM,0.0"
"VOM1,Victoria Memorial,17.3618565,78.5439622,VOM,0,VOM,1.0"
"VOM2,Victoria Memorial,17.3618565,78.5439622,VOM,0,VOM,2.0"
"LBN,L. B. Nagar,17.349846,78.5479412,LBN,1,LBN,0.0"
"LBN1,L. B. Nagar,17.349846,78.5479412,LBN,0,LBN,1.0"
"LBN2,L. B. Nagar,17.349846,78.5479412,LBN,0,LBN,2.0"
"SUB,Sultan Bazar,17.3844473,78.4840241,SUB,1,SUB,0.0"
"SUB1,Sultan Bazar,17.3844473,78.4840241,SUB,0,SUB,1.0"
"SUB2,Sultan Bazar,17.3844473,78.4840241,SUB,0,SUB,2.0"
"NAR,Narayanaguda,17.3943658,78.4899578,NAR,1,NAR,0.0"
"NAR1,Narayanaguda,17.3943658,78.4899578,NAR,0,NAR,1.0"
"NAR2,Narayanaguda,17.3943658,78.4899578,NAR,0,NAR,2.0"
"CDP,Chikkadpally,17.4003634,78.4948964,CDP,1,CDP,0.0"
"CDP1,Chikkadpally,17.4003634,78.4948964,CDP,0,CDP,1.0"
"CDP2,Chikkadpally,17.4003634,78.4948964,CDP,0,CDP,2.0"
"RTC,RTC Cross Roads,17.4070321,78.4968023,RTC,1,RTC,0.0"
"RTC1,RTC Cross Roads,17.4070321,78.4968023,RTC,0,RTC,1.0"
"RTC2,RTC Cross Roads,17.4070321,78.4968023,RTC,0,RTC,2.0"
"MSH,Musheerabad,17.4178744,78.4995051,MSH,1,MSH,0.0"
"MSH1,Musheerabad,17.4178744,78.4995051,MSH,0,MSH,1.0"
"MSH2,Musheerabad,17.4178744,78.4995051,MSH,0,MSH,2.0"
"GNH,Gandhi Hospital,17.4255155,78.501956,GNH,1,GNH,0.0"
"GNH1,Gandhi Hospital,17.4255155,78.501956,GNH,0,GNH,1.0"
"GNH2,Gandhi Hospital,17.4255155,78.501956,GNH,0,GNH,2.0"
"SCR,Secunderabad West,17.4338034,78.4995181,SCR,1,SCR,0.0"
"SCR1,Secunderabad West,17.4338034,78.4995181,SCR,0,SCR,1.0"
"SCR2,Secunderabad West,17.4338034,78.4995181,SCR,0,SCR,2.0"
"JBS,JBS Parade Ground,17.4444775,78.497584,JBS,1,JBS,0.0"
"PRG4,JBS Parade Ground,17.4444775,78.497584,JBS,0,JBS,4.0"
"NAG,Nagole,17.3907683,78.5588222,NAG,1,NAG,0.0"
"NAG1,Nagole,17.3907683,78.5588222,NAG,0,NAG,1.0"
"NAG2,Nagole,17.3907683,78.5588222,NAG,0,NAG,2.0"
"UPL,Uppal,17.4000665,78.5601868,UPL,1,UPL,0.0"
"UPL1,Uppal,17.4000665,78.5601868,UPL,0,UPL,1.0"
"UPL2,Uppal,17.4000665,78.5601868,UPL,0,UPL,2.0"
"STD,Stadium,17.4074002,78.5542531,STD,1,STD,0.0"
"SOI1,Stadium,17.4074002,78.5542531,STD,0,STD,1.0"
"SOI2,Stadium,17.4074002,78.5542531,STD,0,STD,2.0"
"NGR,NGRI,17.4148264,78.5463345,NGR,1,NGR,0.0"
"NGR1,NGRI,17.4148264,78.5463345,NGR,0,NGR,1.0"
"NGR2,NGRI,17.4148264,78.5463345,NGR,0,NGR,2.0"
"HSG,Habsiguda,17.42018,78.540548,HSG,1,HSG,0.0"
"HSG1,Habsiguda,17.42018,78.540548,HSG,0,HSG,1.0"
"HSG2,Habsiguda,17.42018,78.540548,HSG,0,HSG,2.0"
"TAR,Tarnaka,17.4274418,78.5300079,TAR,1,TAR,0.0"
"TAR1,Tarnaka,17.4274418,78.5300079,TAR,0,TAR,1.0"
"TAR2,Tarnaka,17.4274418,78.5300079,TAR,0,TAR,2.0"
"MET,Mettuguda,17.4355207,78.5195754,MET,1,MET,0.0"
"MET1,Mettuguda,17.4355207,78.5195754,MET,0,MET,1.0"
"MET2,Mettuguda,17.4355207,78.5195754,MET,0,MET,2.0"
"SEC_E,Secunderabad East,17.4357184,78.5054623,SEC_E,1,SEC_E,0.0"
"SEC1,Secunderabad East,17.4357184,78.5054623,SEC_E,0,SEC_E,1.0"
"SEC2,Secunderabad East,17.4357184,78.5054623,SEC_E,0,SEC_E,2.0"
"PRG,Parade Ground,17.4431943,78.4974687,PRG,1,PRG,0.0"
"PRG1,Parade Ground,17.4431943,78.4974687,PRG,0,PRG,1.0"
"PRG2,Parade Ground,17.4431943,78.4974687,PRG,0,PRG,2.0"
"PAR,Paradise,17.4434668,78.4862436,PAR,1,PAR,0.0"
"PAR1,Paradise,17.4434668,78.4862436,PAR,0,PAR,1.0"
"PAR2,Paradise,17.4434668,78.4862436,PAR,0,PAR,2.0"
"ROP,Rasoolpura,17.443612,78.4764053,ROP,1,ROP,0.0"
"ROP1,Rasoolpura,17.443612,78.4764053,ROP,0,ROP,1.0"
"ROP2,Rasoolpura,17.443612,78.4764053,ROP,0,ROP,2.0"
"PRN,Prakash Nagar,17.4448889,78.4658749,PRN,1,PRN,0.0"
"PRN1,Prakash Nagar,17.4448889,78.4658749,PRN,0,PRN,1.0"
"PRN2,Prakash Nagar,17.4448889,78.4658749,PRN,0,PRN,2.0"
"BEG,Begumpet,17.4375661,78.4569341,BEG,1,BEG,0.0"
"BEG1,Begumpet,17.4375661,78.4569341,BEG,0,BEG,1.0"
"BEG2,Begumpet,17.4375661,78.4569341,BEG,0,BEG,2.0"
"MUN,Madhura Nagar,17.4369652,78.4390993,MUN,1,MUN,0.0"
"MUN1,Madhura Nagar,17.4369652,78.4390993,MUN,0,MUN,1.0"
"MUN2,Madhura Nagar,17.4369652,78.4390993,MUN,0,MUN,2.0"
"YUG,Yusufguda,17.4351132,78.4273216,YUG,1,YUG,0.0"
"YUG1,Yusufguda,17.4351132,78.4273216,YUG,0,YUG,1.0"
"YUG2,Yusufguda,17.4351132,78.4273216,YUG,0,YUG,2.0"
"JR5,Road No 5 Jubilee Hills,17.4300489,78.4232069,JR5,1,JR5,5.0"
"JR51,Road No 5 Jubilee Hills,17.4300489,78.4232069,JR5,0,JR5,1.0"
"JR52,Road No 5 Jubilee Hills,17.4300489,78.4232069,JR5,0,JR5,2.0"
"JCP,Jubilee Hills Checkpost,17.4281969,78.4137145,JCP,1,JCP,0.0"
"JCP1,Jubilee Hills Checkpost,17.4281969,78.4137145,JCP,0,JCP,1.0"
"JCP2,Jubilee Hills Checkpost,17.4281969,78.4137145,JCP,0,JCP,2.0"
"PED,Peddamma Gudi,17.4306512,78.4083721,PED,1,PED,0.0"
"PED1,Peddamma Gudi,17.4306512,78.4083721,PED,0,PED,1.0"
"PED2,Peddamma Gudi,17.4306512,78.4083721,PED,0,PED,2.0"
"MAD,Madhapur,17.4372637,78.4004257,MAD,1,MAD,0.0"
"MAD1,Madhapur,17.4372637,78.4004257,MAD,0,MAD,1.0"
"MAD2,Madhapur,17.4372637,78.4004257,MAD,0,MAD,2.0"
