origin_id,destination_id,fare_id
MGB_G,NGR,F_45
NAG,HSG,F_25
UPL,HSG,F_15
STD,HSG,F_15
NGR,HSG,F_10
HSG,HSG,F_10
TAR,HSG,F_10
MET,HSG,F_15
SEC_E,HSG,F_25
PRG,HSG,F_30
PAR,HSG,F_30
ROP,HSG,F_35
PRN,HSG,F_35
BEG,HSG,F_40
AME_B,HSG,F_40
MUN,HSG,F_40
YUG,HSG,F_45
JR5,HSG,F_45
JCP,HSG,F_45
PED,HSG,F_45
MAD,HSG,F_50
DGC,HSG,F_50
HTC,HSG,F_50
RDG,HSG,F_55
MYP,HSG,F_55
JNT,HSG,F_55
KPH,HSG,F_50
KUK,HSG,F_50
BLR,HSG,F_45
MSP,HSG,F_45
BTN,HSG,F_45
ERA,HSG,F_45
ESI,HSG,F_45
SRN,HSG,F_40
AME_R,HSG,F_40
PUN,HSG,F_40
IRM,HSG,F_45
KHA,HSG,F_45
LKP,HSG,F_45
ASM,HSG,F_45
NAM,HSG,F_45
GAB,HSG,F_45
OMC,HSG,F_45
MGB_R,HSG,F_45
MKL,HSG,F_45
NEM,HSG,F_45
MSB,HSG,F_45
DSN,HSG,F_50
CHP,HSG,F_50
VOM,HSG,F_50
LBN,HSG,F_55
JBS,HSG,F_30
SCR,HSG,F_30
GNH,HSG,F_35
MSH,HSG,F_35
RTC,HSG,F_40
CDP,HSG,F_40
NAR,HSG,F_40
SUB,HSG,F_40
MGB_G,HSG,F_45
NAG,TAR,F_25
UPL,TAR,F_25
STD,TAR,F_15
NGR,TAR,F_15
HSG,TAR,F_10
TAR,TAR,F_10
MET,TAR,F_10
SEC_E,TAR,F_15
PRG,TAR,F_25
PAR,TAR,F_25
ROP,TAR,F_30
PRN,TAR,F_35
BEG,TAR,F_35
AME_B,TAR,F_40
MUN,TAR,F_40
YUG,TAR,F_40
JR5,TAR,F_45
JCP,TAR,F_45
PED,TAR,F_45
MAD,TAR,F_45
DGC,TAR,F_50
HTC,TAR,F_50
RDG,TAR,F_50
MYP,TAR,F_55
JNT,TAR,F_50
KPH,TAR,F_50
KUK,TAR,F_45
BLR,TAR,F_45
MSP,TAR,F_45
BTN,TAR,F_45
ERA,TAR,F_40
ESI,TAR,F_40
SRN,TAR,F_40
AME_R,TAR,F_40
PUN,TAR,F_40
IRM,TAR,F_40
KHA,TAR,F_45
LKP,TAR,F_45
ASM,TAR,F_45
NAM,TAR,F_45
GAB,TAR,F_45
OMC,TAR,F_40
MGB_R,TAR,F_40
MKL,TAR,F_45
NEM,TAR,F_45
MSB,TAR,F_45
DSN,TAR,F_45
CHP,TAR,F_50
VOM,TAR,F_50
LBN,TAR,F_50
JBS,TAR,F_25
SCR,TAR,F_30
GNH,TAR,F_30
MSH,TAR,F_35
RTC,TAR,F_35
CDP,TAR,F_40
NAR,TAR,F_40
SUB,TAR,F_40
MGB_G,TAR,F_40
NAG,MET,F_30
UPL,MET,F_25
STD,MET,F_25
NGR,MET,F_15
HSG,MET,F_15
TAR,MET,F_10
MET,MET,F_10
SEC_E,MET,F_10
PRG,MET,F_15
PAR,MET,F_25
ROP,MET,F_25
PRN,MET,F_30
BEG,MET,F_35
AME_B,MET,F_35
MUN,MET,F_40
YUG,MET,F_40
JR5,MET,F_40
JCP,MET,F_45
PED,MET,F_45
MAD,MET,F_45
DGC,MET,F_45
HTC,MET,F_50
RDG,MET,F_50
MYP,MET,F_50
JNT,MET,F_50
KPH,MET,F_45
KUK,MET,F_45
BLR,MET,F_45
MSP,MET,F_45
BTN,MET,F_40
ERA,MET,F_40
ESI,MET,F_40
SRN,MET,F_40
AME_R,MET,F_35
PUN,MET,F_40
IRM,MET,F_40
KHA,MET,F_40
LKP,MET,F_45
ASM,MET,F_45
NAM,MET,F_45
GAB,MET,F_40
OMC,MET,F_40
MGB_R,MET,F_40
MKL,MET,F_40
NEM,MET,F_40
MSB,MET,F_45
DSN,MET,F_45
CHP,MET,F_45
VOM,MET,F_50
LBN,MET,F_50
JBS,MET,F_15
SCR,MET,F_25
GNH,MET,F_25
MSH,MET,F_30
RTC,MET,F_35
CDP,MET,F_35
NAR,MET,F_35
SUB,MET,F_40
MGB_G,MET,F_40
NAG,SEC_E,F_35
UPL,SEC_E,F_30
STD,SEC_E,F_30
NGR,SEC_E,F_25
HSG,SEC_E,F_25
TAR,SEC_E,F_15
MET,SEC_E,F_10
SEC_E,SEC_E,F_10
PRG,SEC_E,F_10
PAR,SEC_E,F_15
ROP,SEC_E,F_15
PRN,SEC_E,F_25
BEG,SEC_E,F_30
AME_B,SEC_E,F_30
MUN,SEC_E,F_35
YUG,SEC_E,F_40
JR5,SEC_E,F_40
JCP,SEC_E,F_40
PED,SEC_E,F_40
MAD,SEC_E,F_40
DGC,SEC_E,F_45
HTC,SEC_E,F_45
RDG,SEC_E,F_45
MYP,SEC_E,F_50
JNT,SEC_E,F_45
KPH,SEC_E,F_45
KUK,SEC_E,F_45
BLR,SEC_E,F_40
MSP,SEC_E,F_40
BTN,SEC_E,F_40
ERA,SEC_E,F_40
ESI,SEC_E,F_35
SRN,SEC_E,F_35
AME_R,SEC_E,F_30
PUN,SEC_E,F_35
IRM,SEC_E,F_40
KHA,SEC_E,F_40
LKP,SEC_E,F_40
ASM,SEC_E,F_40
NAM,SEC_E,F_40
GAB,SEC_E,F_40
OMC,SEC_E,F_40
MGB_R,SEC_E,F_40
MKL,SEC_E,F_40
NEM,SEC_E,F_40
MSB,SEC_E,F_40
DSN,SEC_E,F_45
CHP,SEC_E,F_45
VOM,SEC_E,F_45
LBN,SEC_E,F_50
JBS,SEC_E,F_10
SCR,SEC_E,F_15
GNH,SEC_E,F_25
MSH,SEC_E,F_25
RTC,SEC_E,F_30
CDP,SEC_E,F_30
NAR,SEC_E,F_30
SUB,SEC_E,F_35
MGB_G,SEC_E,F_40
NAG,PRG,F_40
UPL,PRG,F_35
STD,PRG,F_35
NGR,PRG,F_30
HSG,PRG,F_30
TAR,PRG,F_25
MET,PRG,F_15
SEC_E,PRG,F_10
PRG,PRG,F_10
PAR,PRG,F_10
ROP,PRG,F_15
PRN,PRG,F_15
BEG,PRG,F_25
AME_B,PRG,F_30
MUN,PRG,F_30
YUG,PRG,F_35
JR5,PRG,F_35
JCP,PRG,F_40
PED,PRG,F_40
MAD,PRG,F_40
DGC,PRG,F_45
HTC,PRG,F_45
RDG,PRG,F_45
MYP,PRG,F_45
JNT,PRG,F_45
KPH,PRG,F_45
KUK,PRG,F_40
BLR,PRG,F_40
MSP,PRG,F_40
BTN,PRG,F_35
ERA,PRG,F_35
ESI,PRG,F_30
SRN,PRG,F_30
AME_R,PRG,F_30
PUN,PRG,F_30
IRM,PRG,F_35
KHA,PRG,F_35
LKP,PRG,F_40
ASM,PRG,F_40
NAM,PRG,F_40
GAB,PRG,F_40
OMC,PRG,F_35
MGB_R,PRG,F_35
MKL,PRG,F_35
NEM,PRG,F_40
MSB,PRG,F_40
DSN,PRG,F_40
CHP,PRG,F_45
VOM,PRG,F_45
LBN,PRG,F_45
JBS,PRG,F_10
SCR,PRG,F_10
GNH,PRG,F_15
MSH,PRG,F_15
RTC,PRG,F_25
CDP,PRG,F_25
NAR,PRG,F_30
SUB,PRG,F_30
MGB_G,PRG,F_35
NAG,PAR,F_40
UPL,PAR,F_40
STD,PAR,F_35
NGR,PAR,F_35
HSG,PAR,F_30
TAR,PAR,F_25
MET,PAR,F_25
SEC_E,PAR,F_15
PRG,PAR,F_10
PAR,PAR,F_10
ROP,PAR,F_10
PRN,PAR,F_15
BEG,PAR,F_15
AME_B,PAR,F_25
MUN,PAR,F_25
YUG,PAR,F_30
JR5,PAR,F_35
JCP,PAR,F_35
PED,PAR,F_40
MAD,PAR,F_40
DGC,PAR,F_40
HTC,PAR,F_40
RDG,PAR,F_45
MYP,PAR,F_45
JNT,PAR,F_45
KPH,PAR,F_40
KUK,PAR,F_40
BLR,PAR,F_40
MSP,PAR,F_35
BTN,PAR,F_35
ERA,PAR,F_30
ESI,PAR,F_30
SRN,PAR,F_25
AME_R,PAR,F_25
PUN,PAR,F_30
IRM,PAR,F_30
KHA,PAR,F_35
LKP,PAR,F_35
ASM,PAR,F_40
NAM,PAR,F_40
GAB,PAR,F_40
OMC,PAR,F_40
MGB_R,PAR,F_35
MKL,PAR,F_40
NEM,PAR,F_40
MSB,PAR,F_40
DSN,PAR,F_45
CHP,PAR,F_45
VOM,PAR,F_45
LBN,PAR,F_45
JBS,PAR,F_10
SCR,PAR,F_15
GNH,PAR,F_15
MSH,PAR,F_25
RTC,PAR,F_25
CDP,PAR,F_30
NAR,PAR,F_30
SUB,PAR,F_35
MGB_G,PAR,F_35
NAG,ROP,F_40
UPL,ROP,F_40
STD,ROP,F_40
NGR,ROP,F_35
HSG,ROP,F_35
TAR,ROP,F_30
MET,ROP,F_25
SEC_E,ROP,F_15
PRG,ROP,F_15
PAR,ROP,F_10
ROP,ROP,F_10
PRN,ROP,F_10
BEG,ROP,F_15
AME_B,ROP,F_25
MUN,ROP,F_25
YUG,ROP,F_30
JR5,ROP,F_30
JCP,ROP,F_35
PED,ROP,F_35
MAD,ROP,F_40
DGC,ROP,F_40
HTC,ROP,F_40
RDG,ROP,F_45
MYP,ROP,F_45
JNT,ROP,F_40
KPH,ROP,F_40
KUK,ROP,F_40
BLR,ROP,F_35
MSP,ROP,F_35
BTN,ROP,F_30
ERA,ROP,F_30
ESI,ROP,F_25
SRN,ROP,F_25
AME_R,ROP,F_25
PUN,ROP,F_25
IRM,ROP,F_30
KHA,ROP,F_30
LKP,ROP,F_35
ASM,ROP,F_35
NAM,ROP,F_40
GAB,ROP,F_40
OMC,ROP,F_40
MGB_R,ROP,F_40
MKL,ROP,F_40
NEM,ROP,F_40
MSB,ROP,F_40
DSN,ROP,F_45
CHP,ROP,F_45
VOM,ROP,F_45
LBN,ROP,F_50
JBS,ROP,F_15
SCR,ROP,F_15
GNH,ROP,F_25
MSH,ROP,F_25
RTC,ROP,F_30
CDP,ROP,F_30
NAR,ROP,F_35
SUB,ROP,F_35
MGB_G,ROP,F_40
NAG,PRN,F_40
UPL,PRN,F_40
STD,PRN,F_40
NGR,PRN,F_40
HSG,PRN,F_35
TAR,PRN,F_35
MET,PRN,F_30
SEC_E,PRN,F_25
PRG,PRN,F_15
PAR,PRN,F_15
ROP,PRN,F_10
PRN,PRN,F_10
BEG,PRN,F_10
AME_B,PRN,F_15
MUN,PRN,F_15
YUG,PRN,F_25
JR5,PRN,F_25
JCP,PRN,F_30
PED,PRN,F_30
MAD,PRN,F_35
DGC,PRN,F_40
HTC,PRN,F_40
RDG,PRN,F_40
MYP,PRN,F_45
JNT,PRN,F_40
KPH,PRN,F_40
KUK,PRN,F_35
BLR,PRN,F_35
MSP,PRN,F_30
BTN,PRN,F_30
ERA,PRN,F_25
ESI,PRN,F_25
SRN,PRN,F_15
AME_R,PRN,F_15
PUN,PRN,F_25
IRM,PRN,F_25
KHA,PRN,F_30
LKP,PRN,F_30
ASM,PRN,F_35
NAM,PRN,F_35
GAB,PRN,F_35
OMC,PRN,F_40
MGB_R,PRN,F_40
MKL,PRN,F_40
NEM,PRN,F_40
MSB,PRN,F_45
DSN,PRN,F_45
CHP,PRN,F_45
VOM,PRN,F_50
LBN,PRN,F_50
JBS,PRN,F_15
SCR,PRN,F_25
GNH,PRN,F_25
MSH,PRN,F_30
RTC,PRN,F_35
CDP,PRN,F_35
NAR,PRN,F_35
SUB,PRN,F_40
MGB_G,PRN,F_40
NAG,BEG,F_45
UPL,BEG,F_45
STD,BEG,F_40
NGR,BEG,F_40
HSG,BEG,F_40
TAR,BEG,F_35
MET,BEG,F_35
SEC_E,BEG,F_30
PRG,BEG,F_25
PAR,BEG,F_15
ROP,BEG,F_15
PRN,BEG,F_10
BEG,BEG,F_10
AME_B,BEG,F_10
MUN,BEG,F_15
YUG,BEG,F_15
JR5,BEG,F_25
JCP,BEG,F_25
PED,BEG,F_30
MAD,BEG,F_30
DGC,BEG,F_35
HTC,BEG,F_40
RDG,BEG,F_40
MYP,BEG,F_40
JNT,BEG,F_40
KPH,BEG,F_35
KUK,BEG,F_35
BLR,BEG,F_30
MSP,BEG,F_30
BTN,BEG,F_25
ERA,BEG,F_25
ESI,BEG,F_15
SRN,BEG,F_15
AME_R,BEG,F_10
PUN,BEG,F_15
IRM,BEG,F_15
KHA,BEG,F_25
LKP,BEG,F_25
ASM,BEG,F_30
NAM,BEG,F_30
GAB,BEG,F_35
OMC,BEG,F_35
MGB_R,BEG,F_40
MKL,BEG,F_40
NEM,BEG,F_40
MSB,BEG,F_40
DSN,BEG,F_45
CHP,BEG,F_45
VOM,BEG,F_45
LBN,BEG,F_50
JBS,BEG,F_25
SCR,BEG,F_30
GNH,BEG,F_30
MSH,BEG,F_35
RTC,BEG,F_35
CDP,BEG,F_40
NAR,BEG,F_40
SUB,BEG,F_40
MGB_G,BEG,F_40
NAG,AME_B,F_45
UPL,AME_B,F_45
STD,AME_B,F_45
NGR,AME_B,F_40
HSG,AME_B,F_40
TAR,AME_B,F_40
MET,AME_B,F_35
SEC_E,AME_B,F_30
PRG,AME_B,F_30
PAR,AME_B,F_25
ROP,AME_B,F_25
PRN,AME_B,F_15
BEG,AME_B,F_10
AME_B,AME_B,F_10
MUN,AME_B,F_10
YUG,AME_B,F_15
JR5,AME_B,F_15
JCP,AME_B,F_25
PED,AME_B,F_25
MAD,AME_B,F_30
DGC,AME_B,F_30
HTC,AME_B,F_35
RDG,AME_B,F_35
MYP,AME_B,F_40
JNT,AME_B,F_35
KPH,AME_B,F_35
KUK,AME_B,F_30
BLR,AME_B,F_25
MSP,AME_B,F_25
BTN,AME_B,F_15
ERA,AME_B,F_15
ESI,AME_B,F_10
SRN,AME_B,F_10
AME_R,AME_B,F_10
PUN,AME_B,F_10
IRM,AME_B,F_15
KHA,AME_B,F_15
LKP,AME_B,F_25
ASM,AME_B,F_25
NAM,AME_B,F_25
GAB,AME_B,F_30
OMC,AME_B,F_30
MGB_R,AME_B,F_35
MKL,AME_B,F_35
NEM,AME_B,F_40
MSB,AME_B,F_40
DSN,AME_B,F_40
CHP,AME_B,F_40
VOM,AME_B,F_45
LBN,AME_B,F_45
JBS,AME_B,F_30
SCR,AME_B,F_30
GNH,AME_B,F_35
MSH,AME_B,F_35
RTC,AME_B,F_40
CDP,AME_B,F_40
NAR,AME_B,F_40
SUB,AME_B,F_35
MGB_G,AME_B,F_35
NAG,MUN,F_45
UPL,MUN,F_45
STD,MUN,F_45
NGR,MUN,F_45
HSG,MUN,F_40
TAR,MUN,F_40
MET,MUN,F_40
SEC_E,MUN,F_35
PRG,MUN,F_30
PAR,MUN,F_25
ROP,MUN,F_25
PRN,MUN,F_15
BEG,MUN,F_15
AME_B,MUN,F_10
MUN,MUN,F_10
YUG,MUN,F_10
JR5,MUN,F_15
JCP,MUN,F_15
PED,MUN,F_25
MAD,MUN,F_25
DGC,MUN,F_30
HTC,MUN,F_30
RDG,MUN,F_35
MYP,MUN,F_40
JNT,MUN,F_40
KPH,MUN,F_35
KUK,MUN,F_30
BLR,MUN,F_25
MSP,MUN,F_25
BTN,MUN,F_25
ERA,MUN,F_15
ESI,MUN,F_15
SRN,MUN,F_10
AME_R,MUN,F_10
PUN,MUN,F_10
IRM,MUN,F_15
KHA,MUN,F_15
LKP,MUN,F_25
ASM,MUN,F_30
NAM,MUN,F_30
GAB,MUN,F_30
OMC,MUN,F_35
MGB_R,MUN,F_35
MKL,MUN,F_40
NEM,MUN,F_40
MSB,MUN,F_40
DSN,MUN,F_40
CHP,MUN,F_45
VOM,MUN,F_45
LBN,MUN,F_45
JBS,MUN,F_30
SCR,MUN,F_35
GNH,MUN,F_35
MSH,MUN,F_40
RTC,MUN,F_40
CDP,MUN,F_40
NAR,MUN,F_40
SUB,MUN,F_35
MGB_G,MUN,F_35
NAG,YUG,F_50
UPL,YUG,F_45
STD,YUG,F_45
NGR,YUG,F_45
HSG,YUG,F_45
TAR,YUG,F_40
MET,YUG,F_40
SEC_E,YUG,F_40
PRG,YUG,F_35
PAR,YUG,F_30
ROP,YUG,F_30
PRN,YUG,F_25
BEG,YUG,F_15
AME_B,YUG,F_15
MUN,YUG,F_10
YUG,YUG,F_10
